county,precinct,office,district,party,candidate,vote
Box Elder,SWIL,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,61
Box Elder,SWIL,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,SWIL,BALLOTS CAST TOTAL,,,BALLOTS CAST,394
Box Elder,SWIL,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,363
Box Elder,SWIL,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,31
Box Elder,SWIL,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,SWIL,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,SWIL,Democratic for U.S. House 1,1,DEM,DARREN PARRY,17
Box Elder,SWIL,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,14
Box Elder,SWIL,Republican for U.S. House 1,1,REP,KATIE WITT,76
Box Elder,SWIL,Republican for U.S. House 1,1,REP,BOB STEVENSON,92
Box Elder,SWIL,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,100
Box Elder,SWIL,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,85
Box Elder,SWIL,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",56
Box Elder,SWIL,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",101
Box Elder,SWIL,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",105
Box Elder,SWIL,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",101
Box Elder,SWIL,Republican for Attorney General,,REP,SEAN D. REYES,209
Box Elder,SWIL,Republican for Attorney General,,REP,DAVID O. LEAVITT,148
Box Elder,SWIL,Republican for Commissioner Seat C,,REP,KRIS UDY,60
Box Elder,SWIL,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,172
Box Elder,SWIL,Republican for Commissioner Seat C,,REP,STAN SUMMERS,95
Box Elder,SWIL,Republican for Commissioner Seat C,,REP,ALDEN FARR,33
Box Elder,TRE1,REGISTERED VOTERS TOTAL,,,VOTERS,603
Box Elder,TRE1,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,575
Box Elder,TRE1,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,28
Box Elder,TRE1,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,TRE1,BALLOTS CAST TOTAL,,,BALLOTS CAST,442
Box Elder,TRE1,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,425
Box Elder,TRE1,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,17
Box Elder,TRE1,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,TRE1,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,TRE1,Democratic for U.S. House 1,1,DEM,DARREN PARRY,12
Box Elder,TRE1,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,5
Box Elder,TRE1,Republican for U.S. House 1,1,REP,KATIE WITT,70
Box Elder,TRE1,Republican for U.S. House 1,1,REP,BOB STEVENSON,117
Box Elder,TRE1,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,102
Box Elder,TRE1,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,115
Box Elder,TRE1,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",45
Box Elder,TRE1,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",223
Box Elder,TRE1,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",99
Box Elder,TRE1,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",57
Box Elder,TRE1,Republican for Attorney General,,REP,SEAN D. REYES,242
Box Elder,TRE1,Republican for Attorney General,,REP,DAVID O. LEAVITT,175
Box Elder,TRE1,Republican for Commissioner Seat C,,REP,KRIS UDY,167
Box Elder,TRE1,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,39
Box Elder,TRE1,Republican for Commissioner Seat C,,REP,STAN SUMMERS,201
Box Elder,TRE1,Republican for Commissioner Seat C,,REP,ALDEN FARR,16
Box Elder,TRE2,REGISTERED VOTERS TOTAL,,,VOTERS,628
Box Elder,TRE2,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,570
Box Elder,TRE2,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,58
Box Elder,TRE2,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,TRE2,BALLOTS CAST TOTAL,,,BALLOTS CAST,402
Box Elder,TRE2,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,375
Box Elder,TRE2,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,27
Box Elder,TRE2,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,TRE2,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,TRE2,Democratic for U.S. House 1,1,DEM,DARREN PARRY,17
Box Elder,TRE2,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,10
Box Elder,TRE2,Republican for U.S. House 1,1,REP,KATIE WITT,72
Box Elder,TRE2,Republican for U.S. House 1,1,REP,BOB STEVENSON,88
Box Elder,TRE2,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,103
Box Elder,TRE2,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,102
Box Elder,TRE2,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",57
Box Elder,TRE2,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",120
Box Elder,TRE2,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",103
Box Elder,TRE2,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",93
Box Elder,TRE2,Republican for Attorney General,,REP,SEAN D. REYES,200
Box Elder,TRE2,Republican for Attorney General,,REP,DAVID O. LEAVITT,170
Box Elder,TRE2,Republican for Commissioner Seat C,,REP,KRIS UDY,182
Box Elder,TRE2,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,36
Box Elder,TRE2,Republican for Commissioner Seat C,,REP,STAN SUMMERS,143
Box Elder,TRE2,Republican for Commissioner Seat C,,REP,ALDEN FARR,12
Box Elder,TRE3,REGISTERED VOTERS TOTAL,,,VOTERS,397
Box Elder,TRE3,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,359
Box Elder,TRE3,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,38
Box Elder,TRE3,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,TRE3,BALLOTS CAST TOTAL,,,BALLOTS CAST,255
Box Elder,TRE3,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,241
Box Elder,TRE3,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,14
Box Elder,TRE3,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,TRE3,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,TRE3,Democratic for U.S. House 1,1,DEM,DARREN PARRY,8
Box Elder,TRE3,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,6
Box Elder,TRE3,Republican for U.S. House 1,1,REP,KATIE WITT,50
Box Elder,TRE3,Republican for U.S. House 1,1,REP,BOB STEVENSON,53
Box Elder,TRE3,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,54
Box Elder,TRE3,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,77
Box Elder,TRE3,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",41
Box Elder,TRE3,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",70
Box Elder,TRE3,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",73
Box Elder,TRE3,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",57
Box Elder,TRE3,Republican for Attorney General,,REP,SEAN D. REYES,126
Box Elder,TRE3,Republican for Attorney General,,REP,DAVID O. LEAVITT,109
Box Elder,TRE3,Republican for Commissioner Seat C,,REP,KRIS UDY,113
Box Elder,TRE3,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,22
Box Elder,TRE3,Republican for Commissioner Seat C,,REP,STAN SUMMERS,99
Box Elder,TRE3,Republican for Commissioner Seat C,,REP,ALDEN FARR,7
Box Elder,TRE4,REGISTERED VOTERS TOTAL,,,VOTERS,471
Box Elder,TRE4,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,430
Box Elder,TRE4,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,41
Box Elder,TRE4,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,TRE4,BALLOTS CAST TOTAL,,,BALLOTS CAST,298
Box Elder,TRE4,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,281
Box Elder,TRE4,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,17
Box Elder,TRE4,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,TRE4,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,TRE4,Democratic for U.S. House 1,1,DEM,DARREN PARRY,9
Box Elder,TRE4,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,8
Box Elder,TRE4,Republican for U.S. House 1,1,REP,KATIE WITT,63
Box Elder,TRE4,Republican for U.S. House 1,1,REP,BOB STEVENSON,82
Box Elder,TRE4,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,57
Box Elder,TRE4,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,69
Box Elder,TRE4,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",37
Box Elder,TRE4,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",71
Box Elder,TRE4,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",90
Box Elder,TRE4,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",82
Box Elder,TRE4,Republican for Attorney General,,REP,SEAN D. REYES,148
Box Elder,TRE4,Republican for Attorney General,,REP,DAVID O. LEAVITT,127
Box Elder,TRE4,Republican for Commissioner Seat C,,REP,KRIS UDY,112
Box Elder,TRE4,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,38
Box Elder,TRE4,Republican for Commissioner Seat C,,REP,STAN SUMMERS,124
Box Elder,TRE4,Republican for Commissioner Seat C,,REP,ALDEN FARR,7
Box Elder,TRE5,REGISTERED VOTERS TOTAL,,,VOTERS,417
Box Elder,TRE5,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,395
Box Elder,TRE5,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,22
Box Elder,TRE5,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,TRE5,BALLOTS CAST TOTAL,,,BALLOTS CAST,271
Box Elder,TRE5,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,259
Box Elder,TRE5,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,12
Box Elder,TRE5,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,TRE5,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,TRE5,Democratic for U.S. House 1,1,DEM,DARREN PARRY,5
Box Elder,TRE5,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,7
Box Elder,TRE5,Republican for U.S. House 1,1,REP,KATIE WITT,60
Box Elder,TRE5,Republican for U.S. House 1,1,REP,BOB STEVENSON,64
Box Elder,TRE5,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,64
Box Elder,TRE5,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,61
Box Elder,TRE5,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",43
Box Elder,TRE5,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",95
Box Elder,TRE5,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",69
Box Elder,TRE5,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",52
Box Elder,TRE5,Republican for Attorney General,,REP,SEAN D. REYES,152
Box Elder,TRE5,Republican for Attorney General,,REP,DAVID O. LEAVITT,103
Box Elder,TRE5,Republican for Commissioner Seat C,,REP,KRIS UDY,117
Box Elder,TRE5,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,29
Box Elder,TRE5,Republican for Commissioner Seat C,,REP,STAN SUMMERS,93
Box Elder,TRE5,Republican for Commissioner Seat C,,REP,ALDEN FARR,16
Box Elder,BC05,REGISTERED VOTERS TOTAL,,,VOTERS,312
Box Elder,BC05,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,267
Box Elder,BC05,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,45
Box Elder,BC05,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC05,BALLOTS CAST TOTAL,,,BALLOTS CAST,212
Box Elder,BC05,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,185
Box Elder,BC05,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,27
Box Elder,BC05,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC05,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC05,Democratic for U.S. House 1,1,DEM,DARREN PARRY,11
Box Elder,BC05,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,16
Box Elder,BC05,Republican for U.S. House 1,1,REP,KATIE WITT,36
Box Elder,BC05,Republican for U.S. House 1,1,REP,BOB STEVENSON,42
Box Elder,BC05,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,65
Box Elder,BC05,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,34
Box Elder,BC05,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",35
Box Elder,BC05,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",42
Box Elder,BC05,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",70
Box Elder,BC05,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",37
Box Elder,BC05,Republican for Attorney General,,REP,SEAN D. REYES,110
Box Elder,BC05,Republican for Attorney General,,REP,DAVID O. LEAVITT,69
Box Elder,BC05,Republican for Commissioner Seat C,,REP,KRIS UDY,53
Box Elder,BC05,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,33
Box Elder,BC05,Republican for Commissioner Seat C,,REP,STAN SUMMERS,79
Box Elder,BC05,Republican for Commissioner Seat C,,REP,ALDEN FARR,18
Box Elder,TRES,REGISTERED VOTERS TOTAL,,,VOTERS,280
Box Elder,TRES,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,260
Box Elder,TRES,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,20
Box Elder,TRES,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,TRES,BALLOTS CAST TOTAL,,,BALLOTS CAST,196
Box Elder,TRES,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,184
Box Elder,TRES,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,12
Box Elder,TRES,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,TRES,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,TRES,Democratic for U.S. House 1,1,DEM,DARREN PARRY,9
Box Elder,TRES,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,3
Box Elder,TRES,Republican for U.S. House 1,1,REP,KATIE WITT,38
Box Elder,TRES,Republican for U.S. House 1,1,REP,BOB STEVENSON,38
Box Elder,TRES,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,32
Box Elder,TRES,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,72
Box Elder,TRES,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",31
Box Elder,TRES,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",78
Box Elder,TRES,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",35
Box Elder,TRES,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",40
Box Elder,TRES,Republican for Attorney General,,REP,SEAN D. REYES,97
Box Elder,TRES,Republican for Attorney General,,REP,DAVID O. LEAVITT,85
Box Elder,TRES,Republican for Commissioner Seat C,,REP,KRIS UDY,88
Box Elder,TRES,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,12
Box Elder,TRES,Republican for Commissioner Seat C,,REP,STAN SUMMERS,79
Box Elder,TRES,Republican for Commissioner Seat C,,REP,ALDEN FARR,5
Box Elder,TREW,REGISTERED VOTERS TOTAL,,,VOTERS,691
Box Elder,TREW,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,657
Box Elder,TREW,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,34
Box Elder,TREW,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,TREW,BALLOTS CAST TOTAL,,,BALLOTS CAST,503
Box Elder,TREW,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,485
Box Elder,TREW,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,18
Box Elder,TREW,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,TREW,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,TREW,Democratic for U.S. House 1,1,DEM,DARREN PARRY,10
Box Elder,TREW,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,8
Box Elder,TREW,Republican for U.S. House 1,1,REP,KATIE WITT,72
Box Elder,TREW,Republican for U.S. House 1,1,REP,BOB STEVENSON,92
Box Elder,TREW,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,94
Box Elder,TREW,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,198
Box Elder,TREW,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",65
Box Elder,TREW,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",163
Box Elder,TREW,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",125
Box Elder,TREW,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",130
Box Elder,TREW,Republican for Attorney General,,REP,SEAN D. REYES,237
Box Elder,TREW,Republican for Attorney General,,REP,DAVID O. LEAVITT,229
Box Elder,TREW,Republican for Commissioner Seat C,,REP,KRIS UDY,221
Box Elder,TREW,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,47
Box Elder,TREW,Republican for Commissioner Seat C,,REP,STAN SUMMERS,191
Box Elder,TREW,Republican for Commissioner Seat C,,REP,ALDEN FARR,22
Box Elder,WLRD,REGISTERED VOTERS TOTAL,,,VOTERS,770
Box Elder,WLRD,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,704
Box Elder,WLRD,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,66
Box Elder,WLRD,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,WLRD,BALLOTS CAST TOTAL,,,BALLOTS CAST,556
Box Elder,WLRD,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,513
Box Elder,WLRD,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,43
Box Elder,WLRD,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,WLRD,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,WLRD,Democratic for U.S. House 1,1,DEM,DARREN PARRY,21
Box Elder,WLRD,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,22
Box Elder,WLRD,Republican for U.S. House 1,1,REP,KATIE WITT,96
Box Elder,WLRD,Republican for U.S. House 1,1,REP,BOB STEVENSON,134
Box Elder,WLRD,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,136
Box Elder,WLRD,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,125
Box Elder,WLRD,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",85
Box Elder,WLRD,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",166
Box Elder,WLRD,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",161
Box Elder,WLRD,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",99
Box Elder,WLRD,Republican for Attorney General,,REP,SEAN D. REYES,290
Box Elder,WLRD,Republican for Attorney General,,REP,DAVID O. LEAVITT,211
Box Elder,WLRD,Republican for Commissioner Seat C,,REP,KRIS UDY,61
Box Elder,WLRD,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,278
Box Elder,WLRD,Republican for Commissioner Seat C,,REP,STAN SUMMERS,132
Box Elder,WLRD,Republican for Commissioner Seat C,,REP,ALDEN FARR,39
Box Elder,YOST,REGISTERED VOTERS TOTAL,,,VOTERS,22
Box Elder,YOST,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,22
Box Elder,YOST,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,0
Box Elder,YOST,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,YOST,BALLOTS CAST TOTAL,,,BALLOTS CAST,18
Box Elder,YOST,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,17
Box Elder,YOST,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,1
Box Elder,YOST,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,YOST,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,YOST,Democratic for U.S. House 1,1,DEM,DARREN PARRY,1
Box Elder,YOST,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,0
Box Elder,YOST,Republican for U.S. House 1,1,REP,KATIE WITT,4
Box Elder,YOST,Republican for U.S. House 1,1,REP,BOB STEVENSON,3
Box Elder,YOST,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,0
Box Elder,YOST,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,8
Box Elder,YOST,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",3
Box Elder,YOST,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",5
Box Elder,YOST,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",2
Box Elder,YOST,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",7
Box Elder,YOST,Republican for Attorney General,,REP,SEAN D. REYES,11
Box Elder,YOST,Republican for Attorney General,,REP,DAVID O. LEAVITT,6
Box Elder,YOST,Republican for Commissioner Seat C,,REP,KRIS UDY,7
Box Elder,YOST,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,0
Box Elder,YOST,Republican for Commissioner Seat C,,REP,STAN SUMMERS,9
Box Elder,YOST,Republican for Commissioner Seat C,,REP,ALDEN FARR,1
Box Elder,BC06,REGISTERED VOTERS TOTAL,,,VOTERS,512
Box Elder,BC06,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,479
Box Elder,BC06,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,33
Box Elder,BC06,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC06,BALLOTS CAST TOTAL,,,BALLOTS CAST,403
Box Elder,BC06,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,380
Box Elder,BC06,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,23
Box Elder,BC06,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC06,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC06,Democratic for U.S. House 1,1,DEM,DARREN PARRY,15
Box Elder,BC06,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,8
Box Elder,BC06,Republican for U.S. House 1,1,REP,KATIE WITT,53
Box Elder,BC06,Republican for U.S. House 1,1,REP,BOB STEVENSON,114
Box Elder,BC06,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,106
Box Elder,BC06,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,92
Box Elder,BC06,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",81
Box Elder,BC06,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",142
Box Elder,BC06,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",100
Box Elder,BC06,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",57
Box Elder,BC06,Republican for Attorney General,,REP,SEAN D. REYES,233
Box Elder,BC06,Republican for Attorney General,,REP,DAVID O. LEAVITT,140
Box Elder,BC06,Republican for Commissioner Seat C,,REP,KRIS UDY,86
Box Elder,BC06,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,74
Box Elder,BC06,Republican for Commissioner Seat C,,REP,STAN SUMMERS,154
Box Elder,BC06,Republican for Commissioner Seat C,,REP,ALDEN FARR,62
Box Elder,BC07,REGISTERED VOTERS TOTAL,,,VOTERS,428
Box Elder,BC07,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,377
Box Elder,BC07,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,51
Box Elder,BC07,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC07,BALLOTS CAST TOTAL,,,BALLOTS CAST,300
Box Elder,BC07,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,264
Box Elder,BC07,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,36
Box Elder,BC07,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC07,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC07,Democratic for U.S. House 1,1,DEM,DARREN PARRY,25
Box Elder,BC07,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,11
Box Elder,BC07,Republican for U.S. House 1,1,REP,KATIE WITT,51
Box Elder,BC07,Republican for U.S. House 1,1,REP,BOB STEVENSON,77
Box Elder,BC07,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,83
Box Elder,BC07,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,45
Box Elder,BC07,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",76
Box Elder,BC07,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",56
